冒天下之大不讳=冒天下之大不韪|冒天下之大不韙
错手不及=措手不及|措手不及
大放獗词=大放厥词|大放厥詞
大廷广众=大庭广众|大庭廣眾
大相径廷=大相径庭|大相徑庭
当人不让=当仁不让|當仁不讓
一视同人=一视同仁|一視同仁
倒打一把=倒打一耙|倒打一耙
得不尝失=得不偿失|得不償失
得垄望蜀=得陇望蜀|得隴望蜀
地大物搏=地大物博|地大物博
掂斤拨两=掂斤播两|掂斤播兩
草木雕零=草木凋零|草木凋零
凋虫小技=雕虫小技|雕蟲小技
调以轻心=掉以轻心|掉以輕心
吊虎离山=调虎离山|調虎離山
尾大不吊=尾大不掉|尾大不掉
动辙得咎=动辄得咎|動輒得咎
动则得咎=动辄得咎|動輒得咎
浅尝则止=浅尝辄止|淺嘗輒止
以毒功毒=以毒攻毒|以毒攻毒
独挡一面=独当一面|獨當一面
以一挡十=以一当十|以一當十
独占螯头=独占鳌头|獨占鰲頭
过度时期=过渡时期|過渡時期
疾贤妒能=嫉贤妒能|嫉賢妒能
愤世疾俗=愤世嫉俗|憤世嫉俗
痛心嫉首=痛心疾首|痛心疾首
手急眼快=手疾眼快|手疾眼快
急言厉色=疾言厉色|疾言厲色
大声急呼=大声疾呼|大聲疾呼
眼急手快=眼疾手快|眼疾手快
振笔急书=振笔疾书|振筆疾書
堵绝浪费=杜绝浪费|杜絕浪費
对针下药=对症下药|對症下藥
两军对恃=两军对峙|兩軍對峙
两军对持=两军对峙|兩軍對峙
绌绌逼人=咄咄逼人|咄咄逼人
拙绌逼人=咄咄逼人|咄咄逼人
绌拙逼人=咄咄逼人|咄咄逼人
拙拙逼人=咄咄逼人|咄咄逼人
如雷灌耳=如雷贯耳|如雷貫耳
恶灌满盈=恶贯满盈|惡貫滿盈
发号司令=发号施令|發號施令
各施其职=各司其职|各司其職
震聋发聩=振聋发聩|振聾發聵
震震有词=振振有词|振振有詞
举世振惊=举世震惊|舉世震驚
令人发直=令人发指|令人髮指
要言不繁=要言不烦|要言不煩
防患未燃=防患未然|防患未然
成绩蜚然=成绩斐然|成績斐然
非夷所思=匪夷所思|匪夷所思
分道扬标=分道扬镳|分道揚鑣
愤闷不平=愤懑不平|憤懣不平
愤笔急书=奋笔疾书|奮筆疾書
愤笔疾书=奋笔疾书|奮筆疾書
奋笔急书=奋笔疾书|奮筆疾書
蜂涌而至=蜂拥而至|蜂擁而至
一涌而入=一拥而入|一擁而入
凤冠霞披=凤冠霞帔|鳳冠霞帔
浮光略影=浮光掠影|浮光掠影
付之东流=付诸东流|付諸東流
言简意该=言简意赅|言簡意賅
甘之如怡=甘之如饴|甘之如飴
心旷神饴=心旷神怡|心曠神怡
工力悉抵=工力悉敌|工力悉敵
寡不抵众=寡不敌众|寡不敵眾
功亏一蒉=功亏一篑|功虧一簣
全神灌注=全神贯注|全神貫注
鬼斧神功=鬼斧神工|鬼斧神工
鬼域技俩=鬼蜮伎俩|鬼蜮伎倆
过尤不及=过犹不及|過猶不及
困兽尤斗=困兽犹斗|困獸猶鬥
记忆尤新=记忆犹新|記憶猶新
怨天犹人=怨天尤人|怨天尤人
无耻之犹=无耻之尤|無恥之尤
禁若寒蝉=噤若寒蝉|噤若寒蟬
合盘托出=和盘托出|和盤托出
合衷共济=和衷共济|和衷共濟
曲高合寡=曲高和寡|曲高和寡
划地为牢=画地为牢|畫地為牢
独具惠眼=独具慧眼|獨具慧眼
拾人牙惠=拾人牙慧|拾人牙慧
昏馈无能=昏聩无能|昏聵無能
浑玉朴金=浑玉璞金|渾玉璞金
忽然开朗=豁然开朗|豁然開朗
祸国秧民=祸国殃民|禍國殃民
击浊扬清=激浊扬清|激濁揚清
集液成裘=集腋成裘|集腋成裘
无计于事=无济于事|無濟於事
挤挤一堂=济济一堂|濟濟一堂
计日成功=计日程功|計日程功
佳言懿行=嘉言懿行|嘉言懿行
精神可佳=精神可嘉|精神可嘉
矫糅造作=矫揉造作|矯揉造作
矫柔造作=矫揉造作|矯揉造作
接长补短=截长补短|截長補短
直接了当=直截了当|直截了當
斩钉接铁=斩钉截铁|斬釘截鐵
移花截木=移花接木|移花接木
可资借戒=可资借鉴|可資借鑒
前车之戒=前车之鉴|前車之鑒
弱不经风=弱不禁风|弱不禁風
金壁辉煌=金碧辉煌|金碧輝煌
金钢钻头=金刚钻头|金剛鑽頭
精兵减政=精兵简政|精兵簡政
偷工简料=偷工减料|偷工減料
居心不测=居心叵测|居心叵測
以警效尤=以儆效尤|以儆效尤
鸩形鹄面=鸠形鹄面|鳩形鵠面
饮鸠止渴=饮鸩止渴|飲鴆止渴
拒谏是非=拒谏饰非|拒諫飾非
精神矍烁=精神矍铄|精神矍鑠
烁石流金=铄石流金|鑠石流金
众口烁金=众口铄金|眾口鑠金
开天劈地=开天辟地|開天闢地
开中明义=开宗明义|開宗明義
科头洗足=科头跣足|科頭跣足
刻己奉公=克己奉公|克己奉公
刻勤刻俭=克勤克俭|克勤克儉
克苦耐劳=刻苦耐劳|刻苦耐勞
夸夸奇谈=夸夸其谈|誇誇其談
宽弘大量=宽宏大量|寬宏大量
宽洪大量=宽宏大量|寬宏大量
宏扬文化=弘扬文化|弘揚文化
味同嚼腊=味同嚼蜡|味同嚼蠟
意兴阑姗=意兴阑珊|意興闌珊
无耻滥言=无耻谰言|無恥讕言
宁缺毋烂=宁缺毋滥|寧缺毋濫
老陈持重=老成持重|老成持重
老诚持重=老成持重|老成持重
其乐淘淘=其乐陶陶|其樂陶陶
手屈一指=首屈一指|首屈一指
首曲一指=首屈一指|首屈一指
立功渎罪=立功赎罪|立功贖罪
利精图治=励精图治|勵精圖治
历精图治=励精图治|勵精圖治
厉精图治=励精图治|勵精圖治
力精图治=励精图治|勵精圖治
再接再利=再接再厉|再接再厲
再接再历=再接再厉|再接再厲
再接再励=再接再厉|再接再厲
再接再力=再接再厉|再接再厲
声色俱利=声色俱厉|聲色俱厲
声色俱历=声色俱厉|聲色俱厲
声色俱励=声色俱厉|聲色俱厲
声色俱力=声色俱厉|聲色俱厲
色利内荏=色厉内荏|色厲內荏
色历内荏=色厉内荏|色厲內荏
色励内荏=色厉内荏|色厲內荏
色力内荏=色厉内荏|色厲內荏
雷历风行=雷厉风行|雷厲風行
雷励风行=雷厉风行|雷厲風行
雷力风行=雷厉风行|雷厲風行
雷利风行=雷厉风行|雷厲風行
利兵秣马=厉兵秣马|厲兵秣馬
历兵秣马=厉兵秣马|厲兵秣馬
励兵秣马=厉兵秣马|厲兵秣馬
力兵秣马=厉兵秣马|厲兵秣馬
变本加力=变本加厉|變本加厲
